"formula","tool","exit_status","exit_code","time","states","edges","transitions","acc","scc","nondet_states","nondet_aut","complete_aut","automaton"
"(F(p3)) | (G(!(p2)))","delag","ok",0,0.028944,3,6,12,1,3,0,0,1,"HOA: v1 name: ""Automaton for ((F(p3)) | (G(!p2)))"" States: 3 Start: 0 AP: 2 ""p3"" ""p2"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [!0&1] 1 [!0&!1] 0 {0} [0] 2 State: 1 [!0] 1 [0] 2 State: 2 [t] 2 {0} --END--"
"(F(p3)) | (G(!(p2)))","rabinizer4","ok",0,0.0308478,3,6,12,2,3,0,0,1,"HOA: v1 name: ""Automaton for ((F(p3)) | (G(!p2)))"" States: 3 Start: 0 AP: 2 ""p3"" ""p2"" acc-name: Rabin 1 Acceptance: 2 Fin(0) & Inf(1) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [0] 1 [!0&1] 2 [!0&!1] 0 {1} State: 1 [t] 1 {1} State: 2 [0] 1 [!0] 2 --END--"
"F((p0) R (p1))","ltl2tgba_det","ok",0,0.0106274,2,4,8,1,2,0,0,1,"HOA: v1 name: ""F(p0 R p1)"" States: 2 Start: 0 AP: 2 ""p1"" ""p0"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc complete deterministic stutter-invariant --BODY-- State: 0 [0&!1] 0 [!0] 0 {0} [0&1] 1 State: 1 [t] 1 --END--"
"F((p0) R (p1))","ltl3tela_det","ok",0,0.00567976,2,4,8,1,2,0,0,1,"HOA: v1 States: 2 Start: 0 AP: 2 ""p1"" ""p0"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [0&!1] 0 [!0] 0 {0} [0&1] 1 State: 1 [t] 1 --END--"
"F((p0) R (p1))","ltl2tgba","ok",0,0.010251,3,6,11,1,3,1,1,0,"HOA: v1 name: ""F(p0 R p1)"" States: 3 Start: 0 AP: 2 ""p1"" ""p0"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc stutter-invariant very-weak --BODY-- State: 0 [!0 | !1] 0 [0&1] 1 [0&!1] 2 State: 1 {0} [t] 1 State: 2 {0} [0&1] 1 [0&!1] 2 --END--"
"F((p0) R (p1))","ltl3tela","ok",0,0.00577245,2,4,8,1,2,0,0,1,"HOA: v1 States: 2 Start: 0 AP: 2 ""p1"" ""p0"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [0&!1] 0 [!0] 0 {0} [0&1] 1 State: 1 [t] 1 --END--"
"F((p0) R (p1))","delag","ok",0,0.0269893,2,4,8,2,2,0,0,1,"HOA: v1 name: ""Automaton for F(((p0) R (p1)))"" States: 2 Start: 0 AP: 2 ""p1"" ""p0"" acc-name: Streett 1 Acceptance: 2 Fin(0) | Inf(1) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [0&!1] 0 [!0] 0 {0} [0&1] 1 State: 1 [t] 1 --END--"
"F((p0) R (p1))","rabinizer4","ok",0,0.0265592,2,4,8,1,2,0,0,1,"HOA: v1 name: ""Automaton for F(((p0) R (p1)))"" States: 2 Start: 0 AP: 2 ""p1"" ""p0"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [0&1] 1 [0&!1] 0 [!0] 0 {0} State: 1 [t] 1 --END--"
"((F(G(p2))) R (!(p2))) | (G(F(p1)))","ltl2tgba_det","ok",0,0.0110287,4,10,16,2,4,0,0,1,"HOA: v1 name: ""(FGp2 R !p2) | GFp1"" States: 4 Start: 0 AP: 2 ""p2"" ""p1"" acc-name: Streett 1 Acceptance: 2 Fin(0) | Inf(1) properties: trans-labels explicit-labels trans-acc complete deterministic stutter-invariant --BODY-- State: 0 [!0] 1 [0] 2 State: 1 [!0&!1] 1 [!0&1] 1 {1} [0] 3 State: 2 [!1] 2 {0} [1] 2 {1} State: 3 [0&!1] 3 [!0&!1] 3 {0} [1] 3 {1} --END--"
"((F(G(p2))) R (!(p2))) | (G(F(p1)))","ltl3tela_det","ok",0,0.00829346,4,9,16,2,4,0,0,1,"HOA: v1 States: 4 Start: 0 AP: 2 ""p2"" ""p1"" acc-name: parity min even 2 Acceptance: 2 Inf(0) | Fin(1) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [!0] 1 [0] 2 State: 1 [!0] 1 [0] 3 State: 2 [1] 2 {0} [!1] 2 {1} State: 3 [0&!1] 3 [1] 3 {0} [!0&!1] 3 {1} --END--"
