"formula","tool","exit_status","exit_code","time","states","edges","transitions","acc","scc","nondet_states","nondet_aut","complete_aut","automaton"
"X(((F(p2)) W (X(p0))) <-> ((p2) <-> (F(p3))))","ltl2tgba_det","ok",0,0.0132534,21,73,143,2,13,0,0,0,"HOA: v1 name: ""X((Fp2 W Xp0) <-> (p2 <-> Fp3))"" States: 21 Start: 20 AP: 3 ""p2"" ""p3"" ""p0"" Acceptance: 2 (Inf(0)&Inf(1)) | (Fin(0) & Fin(1)) properties: trans-labels explicit-labels trans-acc deterministic --BODY-- State: 0 [0&1] 1 [!0&!1] 2 [0&!1] 3 [!0&1] 4 State: 1 [0&!2] 1 {0 1} [!0&!2] 5 {0} [2] 6 State: 2 [0&!1&!2] 7 {0 1} [!0&!1&!2] 8 {0} [!1&2] 9 [0&1&!2] 10 [!0&1&!2] 11 State: 3 [0&1&!2] 1 [0&!1&!2] 3 {1} [!0&1&!2] 5 [1&2] 6 [!0&!1&!2] 12 [!1&2] 13 State: 4 [0&!2] 10 {1} [!0&!2] 11 State: 5 [0&!2] 1 {0 1} [2] 6 [!0&!2] 14 {0} State: 6 [t] 6 {0 1} State: 7 [!0&!1&!2] 2 {0} [!0&1&!2] 4 [0&!1&!2] 7 {0 1} [!1&2] 9 [0&1&!2] 10 State: 8 [0&!1&!2] 7 {0 1} [!0&!1&!2] 8 {0} [0&!1&2] 9 [0&1&!2] 10 [!0&1&!2] 11 [!0&!1&2] 15 [!0&1&2] 16 State: 9 [!1] 9 {0 1} State: 10 [!0&!2] 4 [0&!2] 10 {1} State: 11 [0&!2] 10 {1} [!0&!2] 11 [!0&2] 16 State: 12 [0&1&!2] 1 [0&!1&!2] 3 {1} [1&2] 6 [!1&2] 13 [!0&1&!2] 14 [!0&!1&!2] 17 State: 13 [1] 6 [!1] 13 {1} State: 14 [0&!2] 1 {0 1} [0&2] 6 [!0&!2] 14 {0} [!0&2] 18 State: 15 [0&!1] 9 [!0&!1] 15 {0} [!0&1] 16 State: 16 [!0] 16 State: 17 [0&1&!2] 1 [0&!1&!2] 3 {1} [0&1&2] 6 [0&!1&2] 13 [!0&1&!2] 14 [!0&!1&!2] 17 [!0&1&2] 18 [!0&!1&2] 19 State: 18 [0] 6 [!0] 18 {0} State: 19 [0&1] 6 [0&!1] 13 [!0&1] 18 [!0&!1] 19 State: 20 [t] 0 --END--"
"F(((p1) | (p2)) & (G(!(p0))))","ltl2tgba_det","ok",0,0.0103031,2,4,16,1,1,0,0,1,"HOA: v1 name: ""F((p1 | p2) & G!p0)"" States: 2 Start: 0 AP: 3 ""p1"" ""p2"" ""p0"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc complete deterministic stutter-invariant --BODY-- State: 0 [!0&!1 | 2] 0 {0} [0&!2 | 1&!2] 1 State: 1 [2] 0 {0} [!2] 1 --END--"
"(p3) M (G(((p0) | (p2)) & (X(p2))))","ltl2tgba_det","ok",0,0.0101586,3,5,14,1,3,0,0,0,"HOA: v1 name: ""p3 M G((p0 | p2) & Xp2)"" States: 3 Start: 2 AP: 3 ""p0"" ""p2"" ""p3"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic very-weak --BODY-- State: 0 {0} [1] 0 State: 1 [1&2] 0 [1&!2] 1 State: 2 [0&2 | 1&2] 0 [0&!2 | 1&!2] 1 --END--"
"((X(p0)) | (G((G(p1)) | (X(p2))))) W (p2)","ltl2tgba_det","ok",0,0.0107647,7,21,43,1,5,0,0,0,"HOA: v1 name: ""(Xp0 | G(Gp1 | Xp2)) W p2"" States: 7 Start: 5 AP: 3 ""p1"" ""p2"" ""p0"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic weak --BODY-- State: 0 {0} [!0&1] 0 [0&1] 3 State: 1 {0} [!0&1&!2] 0 [!0&!1&2] 1 [0&!1&2] 2 [0&1&!2] 3 [1&2] 4 State: 2 {0} [!0&1&!2] 0 [!0&!1&2] 1 [0&!1&2] 2 [0&1&!2] 3 [1&2] 4 [0&!1&!2] 6 State: 3 {0} [!0&1] 0 [0&1] 3 [0&!1] 6 State: 4 {0} [t] 4 State: 5 [!0&!1] 1 [0&!1] 2 [1] 4 State: 6 {0} [0] 6 --END--"
"(G(p1)) & (X(X(p2)))","ltl2tgba_det","ok",0,0.00953794,4,4,7,1,4,0,0,0,"HOA: v1 name: ""Gp1 & XXp2"" States: 4 Start: 3 AP: 2 ""p1"" ""p2"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic very-weak --BODY-- State: 0 [0&1] 2 State: 1 [0] 0 State: 2 {0} [0] 2 State: 3 [0] 1 --END--"
"((p0) U (G(p2))) R ((p0) R (X(p1)))","ltl2tgba_det","ok",0,0.0121805,8,25,45,1,4,0,0,0,"HOA: v1 name: ""(p0 U Gp2) R (p0 R Xp1)"" States: 8 Start: 0 AP: 3 ""p0"" ""p2"" ""p1"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc deterministic --BODY-- State: 0 [!0] 1 [0] 2 State: 1 [!0&2] 1 [0&2] 2 State: 2 [!0&!1&2] 1 [!0&1&2] 3 [0&2] 4 State: 3 [!0&!1&2] 1 [0&!1&2] 2 [!0&1&2] 3 [1&!2] 5 [0&1&2] 6 State: 4 [!0&!1&2] 1 [!0&1&2] 3 [0&2] 4 [!0&1&!2] 5 [0&!2] 7 State: 5 [1] 5 State: 6 [!0&!1&2] 1 [!0&1&2] 3 [0&2] 4 [1&!2] 5 State: 7 [!0&1] 5 [0&1] 7 [0&!1] 7 {0} --END--"
"((p0) xor (G(p1))) xor ((!(p3)) & (X(!(p3))))","ltl2tgba_det","ok",0,0.0105522,8,19,47,1,8,0,0,0,"HOA: v1 name: ""(p0 xor Gp1) xor (!p3 & X!p3)"" States: 8 Start: 5 AP: 3 ""p3"" ""p0"" ""p1"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic very-weak --BODY-- State: 0 {0} [t] 0 State: 1 [0] 0 State: 2 {0} [2] 2 State: 3 [!0] 0 State: 4 [!2] 0 [2] 4 State: 5 [0&1&!2] 0 [!0&1&!2] 1 [0&!1&2] 2 [!0&!1&!2] 3 [0&1&2] 4 [!0&!1&2] 6 [!0&1&2] 7 State: 6 [!0&!2] 0 [0&2] 2 [!0&2] 4 State: 7 [0&!2] 0 [!0&2] 2 [0&2] 4 --END--"
"(X(!(p2))) | (G(F((!(p0)) & (!(p3)))))","ltl2tgba_det","ok",0,0.00990113,4,6,32,1,4,0,0,1,"HOA: v1 name: ""X!p2 | GF(!p0 & !p3)"" States: 4 Start: 0 AP: 3 ""p0"" ""p2"" ""p3"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [t] 1 State: 1 [!1] 2 [1] 3 State: 2 [t] 2 {0} State: 3 [0 | 2] 3 [!0&!2] 3 {0} --END--"
"X((!(p2)) | (X(F(p1))))","ltl2tgba_det","ok",0,0.00934777,4,6,16,1,4,0,0,1,"HOA: v1 name: ""X(!p2 | XFp1)"" States: 4 Start: 1 AP: 2 ""p2"" ""p1"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc complete deterministic terminal --BODY-- State: 0 {0} [t] 0 State: 1 [t] 2 State: 2 [!0] 0 [0] 3 State: 3 [1] 0 [!1] 3 --END--"
"X(F(p3))","ltl2tgba_det","ok",0,0.00995154,3,4,6,1,3,0,0,1,"HOA: v1 name: ""XFp3"" States: 3 Start: 1 AP: 1 ""p3"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc complete deterministic terminal --BODY-- State: 0 {0} [t] 0 State: 1 [t] 2 State: 2 [0] 0 [!0] 2 --END--"
"(p3) W (p1)","ltl2tgba_det","ok",0,0.00988982,2,3,7,1,2,0,0,0,"HOA: v1 name: ""p3 W p1"" States: 2 Start: 1 AP: 2 ""p3"" ""p1"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc colored deterministic stutter-invariant very-weak --BODY-- State: 0 {0} [t] 0 State: 1 {0} [1] 0 [0&!1] 1 --END--"
"!(p1)","ltl2tgba_det","ok",0,0.00971615,2,2,3,1,2,0,0,0,"HOA: v1 name: ""!p1"" States: 2 Start: 1 AP: 1 ""p1"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic stutter-invariant terminal --BODY-- State: 0 {0} [t] 0 State: 1 [!0] 0 --END--"
"X(G(!(p3)))","ltl2tgba_det","ok",0,0.0120441,2,2,3,1,2,0,0,0,"HOA: v1 name: ""XG!p3"" States: 2 Start: 0 AP: 1 ""p3"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic very-weak --BODY-- State: 0 [t] 1 State: 1 {0} [!0] 1 --END--"
"F(((!(p2)) & (F((F(p1)) R (p3)))) | ((p2) & (G((G(!(p1))) U (!(p3))))))","ltl2tgba_det","ok",0,0.0147523,15,71,120,2,10,0,0,1,"HOA: v1 name: ""F((!p2 & F(Fp1 R p3)) | (p2 & G(G!p1 U !p3)))"" States: 15 Start: 0 AP: 3 ""p2"" ""p3"" ""p1"" acc-name: Rabin 1 Acceptance: 2 Fin(0) & Inf(1) properties: trans-labels explicit-labels trans-acc complete deterministic stutter-invariant --BODY-- State: 0 [0&1&2] 0 [!0&!1] 1 [!0&1&!2] 2 [!0&1&2] 3 [0&!1] 4 [0&1&!2] 5 State: 1 [!0&!1] 1 [!0&1&!2] 2 [1&2] 3 [0&!1] 6 [0&1&!2] 7 State: 2 [!0&1&!2] 2 {1} [2] 3 [!0&!1&!2] 8 {0} [0&!1&!2] 9 [0&1&!2] 10 State: 3 [t] 3 {1} State: 4 [0&1&2] 0 {0} [!0&1&2] 3 [0&!1] 4 {1} [0&1&!2] 5 {0} [!0&!1] 6 [!0&1&!2] 10 State: 5 [0&1&2] 0 {0} [!0&!1&2] 1 [!0&1&2] 3 [0&!1&2] 4 {0} [0&1&!2] 5 [!0&1&!2] 7 [!0&!1&!2] 11 [0&!1&!2] 12 {1} State: 6 [1&2] 3 [!1] 6 {1} [0&1&!2] 7 [!0&1&!2] 10 State: 7 [2] 3 [1&!2] 7 {1} [!1&!2] 13 {1} State: 8 [!0&1&!2] 2 [2] 3 [0&1&!2] 7 [!0&!1&!2] 8 [0&!1&!2] 9 State: 9 [2] 3 [0&1&!2] 7 [!1&!2] 9 {1} [!0&1&!2] 10 State: 10 [2] 3 [1&!2] 10 {1} [!1&!2] 13 State: 11 [!0&!1&2] 1 [1&2] 3 [0&!1&2] 6 [1&!2] 7 [!0&!1&!2] 11 {1} [0&!1&!2] 14 State: 12 [0&1&2] 0 {0} [!0&1&2] 3 [0&!1&2] 4 {0} [0&1&!2] 5 [!0&!1&2] 6 [!0&1&!2] 7 [0&!1&!2] 12 {1} [!0&!1&!2] 14 State: 13 [2] 3 [1&!2] 7 [!1&!2] 13 {1} State: 14 [1&2] 3 [!1&2] 6 [1&!2] 7 [!1&!2] 14 {1} --END--"
