"formula","tool","exit_status","exit_code","time","states","edges","transitions","acc","scc","nondet_states","nondet_aut","complete_aut","automaton"
"(p3) M (G(((p0) | (p2)) & (X(p2))))","ltl3tela_det","ok",0,0.00693744,3,5,14,1,3,0,0,0,"HOA: v1 States: 3 Start: 2 AP: 3 ""p0"" ""p2"" ""p3"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic very-weak --BODY-- State: 0 {0} [1] 0 State: 1 [1&2] 0 [1&!2] 1 State: 2 [0&2 | 1&2] 0 [0&!2 | 1&!2] 1 --END--"
"((X(p0)) | (G((G(p1)) | (X(p2))))) W (p2)","ltl3tela_det","ok",0,0.0098565,7,21,43,1,5,0,0,0,"HOA: v1 States: 7 Start: 5 AP: 3 ""p2"" ""p0"" ""p1"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic weak --BODY-- State: 0 {0} [0&!2] 0 [0&2] 3 State: 1 {0} [0&!1&!2] 0 [!0&1&!2] 1 [!0&1&2] 2 [0&!1&2] 3 [0&1] 4 State: 2 {0} [0&!1&!2] 0 [!0&1&!2] 1 [!0&1&2] 2 [0&!1&2] 3 [0&1] 4 [!0&!1&2] 6 State: 3 {0} [0&!2] 0 [0&2] 3 [!0&2] 6 State: 4 {0} [t] 4 State: 5 [!0&!2] 1 [!0&2] 2 [0] 4 State: 6 {0} [2] 6 --END--"
"(G(p1)) & (X(X(p2)))","ltl3tela_det","ok",0,0.00557486,4,4,7,0,4,0,0,0,"HOA: v1 States: 4 Start: 0 AP: 2 ""p2"" ""p1"" acc-name: all Acceptance: 0 t properties: trans-labels explicit-labels state-acc deterministic --BODY-- State: 0 ""{0,1}"" [1] 1 State: 1 ""{1,2}"" [1] 2 State: 2 ""{1,3}"" [0&1] 3 State: 3 ""{1}"" [1] 3 --END--"
"((p0) U (G(p2))) R ((p0) R (X(p1)))","ltl3tela_det","ok",0,0.0203835,8,25,45,1,4,0,0,0,"HOA: v1 States: 8 Start: 0 AP: 3 ""p0"" ""p2"" ""p1"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc deterministic --BODY-- State: 0 [!0] 1 [0] 2 State: 1 [!0&2] 1 [0&2] 2 State: 2 [!0&!1&2] 1 [!0&1&2] 3 [0&2] 4 State: 3 [!0&!1&2] 1 [0&!1&2] 2 [!0&1&2] 3 [1&!2] 5 [0&1&2] 6 State: 4 [!0&!1&2] 1 [!0&1&2] 3 [0&2] 4 [!0&1&!2] 5 [0&!2] 7 State: 5 [1] 5 State: 6 [!0&!1&2] 1 [!0&1&2] 3 [0&2] 4 [1&!2] 5 State: 7 [!0&1] 5 [0&1] 7 [0&!1] 7 {0} --END--"
"((p0) xor (G(p1))) xor ((!(p3)) & (X(!(p3))))","ltl3tela_det","ok",0,0.0105041,8,19,47,1,8,0,0,0,"HOA: v1 States: 8 Start: 3 AP: 3 ""p0"" ""p3"" ""p1"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic very-weak --BODY-- State: 0 {0} [t] 0 State: 1 [!1] 0 State: 2 [1] 0 State: 3 [0&1&!2] 0 [!0&!1&!2] 1 [0&!1&!2] 2 [!0&!1&2] 4 [0&!1&2] 5 [!0&1&2] 6 [0&1&2] 7 State: 4 [!1&!2] 0 [1&2] 6 [!1&2] 7 State: 5 [1&!2] 0 [!1&2] 6 [1&2] 7 State: 6 {0} [2] 6 State: 7 [!2] 0 [2] 7 --END--"
"(X(!(p2))) | (G(F((!(p0)) & (!(p3)))))","ltl3tela_det","ok",0,0.00747259,4,6,32,1,4,0,0,1,"HOA: v1 States: 4 Start: 0 AP: 3 ""p2"" ""p0"" ""p3"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [t] 1 State: 1 [!0] 2 [0] 3 State: 2 [t] 2 {0} State: 3 [1 | 2] 3 [!1&!2] 3 {0} --END--"
"X((!(p2)) | (X(F(p1))))","ltl3tela_det","ok",0,0.00581214,4,6,16,1,4,0,0,1,"HOA: v1 States: 4 Start: 1 AP: 2 ""p2"" ""p1"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc complete deterministic terminal --BODY-- State: 0 {0} [t] 0 State: 1 [t] 2 State: 2 [!0] 0 [0] 3 State: 3 [1] 0 [!1] 3 --END--"
"X(F(p3))","ltl3tela_det","ok",0,0.00496599,3,4,6,1,3,0,0,1,"HOA: v1 States: 3 Start: 1 AP: 1 ""p3"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc complete deterministic terminal --BODY-- State: 0 {0} [t] 0 State: 1 [t] 2 State: 2 [0] 0 [!0] 2 --END--"
"(p3) W (p1)","ltl3tela_det","ok",0,0.00493423,2,3,7,0,2,0,0,0,"HOA: v1 States: 2 Start: 1 AP: 2 ""p1"" ""p3"" acc-name: all Acceptance: 0 t properties: trans-labels explicit-labels state-acc deterministic very-weak --BODY-- State: 0 [t] 0 State: 1 [0] 0 [!0&1] 1 --END--"
"!(p1)","ltl3tela_det","ok",0,0.00436397,2,2,3,0,2,0,0,0,"HOA: v1 States: 2 Start: 0 AP: 1 ""p1"" acc-name: all Acceptance: 0 t properties: trans-labels explicit-labels state-acc deterministic --BODY-- State: 0 ""{0}"" [!0] 1 State: 1 ""{}"" [t] 1 --END--"
"X(G(!(p3)))","ltl3tela_det","ok",0,0.00495516,2,2,3,0,2,0,0,0,"HOA: v1 States: 2 Start: 0 AP: 1 ""p3"" acc-name: all Acceptance: 0 t properties: trans-labels explicit-labels state-acc deterministic --BODY-- State: 0 ""{0}"" [t] 1 State: 1 ""{1}"" [!0] 1 --END--"
"F(((!(p2)) & (F((F(p1)) R (p3)))) | ((p2) & (G((G(!(p1))) U (!(p3))))))","ltl3tela_det","ok",0,0.0248245,9,39,72,2,5,0,0,1,"HOA: v1 States: 9 Start: 0 AP: 3 ""p2"" ""p1"" ""p3"" acc-name: Rabin 1 Acceptance: 2 Fin(0) & Inf(1) properties: trans-labels explicit-labels trans-acc complete deterministic stutter-invariant --BODY-- State: 0 [0&1&2] 0 {0} [!0&!2] 1 [!0&!1&2] 2 [0&!2] 3 [0&!1&2] 4 {0} [!0&1&2] 8 State: 1 [!0&!2] 1 [!0&!1&2] 2 [0 | 1&2] 8 State: 2 [!0&!1&!2] 2 {0} [!0&!1&2] 2 {1} [0 | 1] 8 State: 3 [0&1&2] 0 {0} [0&!2] 3 {1} [0&!1&2] 4 {0} [!0] 8 State: 4 [0&1&2] 0 {0} [!0&1&!2] 1 [0&1&!2] 3 {0} [0&!1&2] 4 {0} [!0&!1&!2] 5 [0&!1&!2] 6 [!0&2] 8 State: 5 [!0&1&!2] 1 [!0&!1&!2] 5 {1} [0 | 2] 8 State: 6 [0&1&2] 0 {0} [0&1&!2] 3 {0} [0&!1&!2] 6 {1} [0&!1&2] 7 [!0] 8 State: 7 [0&1&2] 0 {0} [!0&1&!2] 1 [0&1&!2] 3 {0} [!0&!1&!2] 5 [0&!1&!2] 6 {1} [0&!1&2] 7 [!0&2] 8 State: 8 [t] 8 {1} --END--"
"X(X(F((((X(p0)) & ((!(p2)) R (F(!(p0))))) | (((p2) U (G(p0))) & (X(!(p0))))) R (!(p0)))))","ltl3tela_det","ok",0,0.0235759,10,25,40,1,7,0,0,1,"HOA: v1 States: 10 Start: 0 AP: 2 ""p0"" ""p2"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [t] 1 State: 1 [t] 2 State: 2 [0] 2 [!0&!1] 3 [!0&1] 4 State: 3 [!0&!1] 3 {0} [!0&1] 4 {0} [0] 9 State: 4 [!0&!1] 3 {0} [!0&1] 5 {0} [0&!1] 6 [0&1] 7 State: 5 [!0&!1] 3 {0} [!0&1] 5 {0} [0] 9 State: 6 [0] 6 [!0] 9 State: 7 [0&!1] 6 [0&1] 7 [!0&1] 8 {0} [!0&!1] 9 State: 8 [0&!1] 6 [0&1] 7 [!0] 9 State: 9 [t] 9 {0} --END--"
"(X((p0) | (X(p1)))) | ((X(p2)) M ((p0) M (p3)))","ltl3tela_det","ok",0,0.00948483,11,29,140,1,10,0,0,0,"HOA: v1 States: 11 Start: 1 AP: 4 ""p0"" ""p1"" ""p3"" ""p2"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic terminal --BODY-- State: 0 [1] 9 State: 1 [!0&2] 2 [0&2] 3 [!2] 10 State: 2 [!0&!2] 0 [!0&2&!3] 4 [!0&2&3] 5 [0] 9 State: 3 [!0&!2&!3] 0 [!0&2&!3] 4 [0 | 3] 9 State: 4 [!0&!1&2&!3] 6 [!0&!1&2&3] 7 [0&!1&2&!3] 8 [0&2&3 | 1] 9 State: 5 [!0&!1&2] 7 [0&2 | 1] 9 State: 6 [!0&2&!3] 6 [!0&2&3] 7 [0&2&!3] 8 [0&2&3] 9 State: 7 [!0&2] 7 [0&2] 9 State: 8 [!0&2&!3] 6 [0&2&!3] 8 [3] 9 State: 9 {0} [t] 9 State: 10 [!0] 0 [0] 9 --END--"
"X((!(p3)) <-> (F(((F(p2)) & (G(p3))) | ((G(!(p2))) & (F(!(p3)))))))","ltl3tela_det","ok",0,0.0284454,9,28,36,2,4,0,0,1,"HOA: v1 States: 9 Start: 0 AP: 2 ""p3"" ""p2"" acc-name: parity min even 2 Acceptance: 2 Inf(0) | Fin(1) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [t] 1 State: 1 [!0&!1] 2 [!0&1] 3 [0&!1] 4 [0&1] 5 State: 2 [0] 2 [!0&1] 3 {1} [!0&!1] 6 State: 3 [0&1] 2 [!0&1] 3 {1} [!0&!1] 6 [0&!1] 7 State: 4 [!0&1 | 0&!1] 4 [0&1] 5 [!0&!1] 8 State: 5 [!0&1] 4 {0} [0] 5 {1} [!0&!1] 8 {0} State: 6 [0&1] 2 {1} [!0&1] 3 {1} [!1] 6 State: 7 [0&1] 2 [!0&1] 3 {1} [!0&!1] 6 [0&!1] 7 {1} State: 8 [!0&1] 4 {0} [0&1] 5 {0} [!1] 8 {1} --END--"
