"input.source","input.name","input.ap","input.states","input.edges","input.transitions","input.acc_sets","input.scc","input.nondetstates","input.nondeterministic","input.alternating","tool","exit_status","exit_code","time","output.ap","output.states","output.edges","output.transitions","output.acc_sets","output.scc","output.nondetstates","output.nondeterministic","output.alternating"
"set3.tele:1.1-37.7",,4,5,23,72,3,4,2,1,0,"autfilt --file=%H --output=%O --small","ok",0,0.00935444,4,5,23,72,3,4,2,1,0
"set3.tele:38.1-110.7",,3,11,53,67,3,6,6,1,0,"autfilt --file=%H --output=%O --small","ok",0,0.00968985,3,11,53,67,3,6,6,1,0
"set3.tele:111.1-152.7",,3,6,27,45,3,5,2,1,0,"autfilt --file=%H --output=%O --small","ok",0,0.00986839,3,6,27,45,3,5,2,1,0
"set3.tele:153.1-238.7",,3,15,62,127,3,12,4,1,0,"autfilt --file=%H --output=%O --small","ok",0,0.0121236,3,15,62,127,3,12,4,1,0
"set3.tele:239.1-285.7",,3,6,32,50,3,3,3,1,0,"autfilt --file=%H --output=%O --small","ok",0,0.0092122,3,6,32,50,3,3,3,1,0
"set3.tele:286.1-394.7",,3,22,78,157,3,15,12,1,0,"autfilt --file=%H --output=%O --small","ok",0,0.0120026,3,22,78,157,3,15,12,1,0
"set3.tele:395.1-475.7",,3,15,57,113,3,12,2,1,0,"autfilt --file=%H --output=%O --small","ok",0,0.0103159,3,15,57,113,3,12,2,1,0
"set3.tele:476.1-528.7",,3,9,35,60,3,4,5,1,0,"autfilt --file=%H --output=%O --small","ok",0,0.0107602,3,9,35,60,3,4,5,1,0
"set3.tele:529.1-615.7",,3,15,63,149,3,11,7,1,0,"autfilt --file=%H --output=%O --small","ok",0,0.0118064,3,15,63,149,3,11,7,1,0
"set3.tele:616.1-733.7",,4,19,90,218,3,9,13,1,0,"autfilt --file=%H --output=%O --small","ok",0,0.0129726,4,19,90,218,3,9,13,1,0
"set3.tele:734.1-792.7",,4,9,41,84,3,4,2,1,0,"autfilt --file=%H --output=%O --small","ok",0,0.0101852,4,7,33,76,3,4,2,1,0
"set3.tele:793.1-846.7",,3,9,36,48,3,6,3,1,0,"autfilt --file=%H --output=%O --small","ok",0,0.00963032,3,9,36,48,3,6,3,1,0
"set3.tele:847.1-901.7",,4,7,39,56,3,4,2,1,0,"autfilt --file=%H --output=%O --small","ok",0,0.00882137,4,7,39,56,3,4,2,1,0
"set3.tele:902.1-1002.7",,3,21,71,180,3,18,5,1,0,"autfilt --file=%H --output=%O --small","ok",0,0.0118547,3,21,71,180,3,18,5,1,0
