"input.source","input.name","input.ap","input.states","input.edges","input.transitions","input.acc_sets","input.scc","input.nondetstates","input.nondeterministic","input.alternating","tool","exit_status","exit_code","time","output.ap","output.states","output.edges","output.transitions","output.acc_sets","output.scc","output.nondetstates","output.nondeterministic","output.alternating"
"patterns-rabinizer4.hoa:7642.1-7654.7","Automaton for G(((F(!a)) | (F(X(X(X(X(a))))))))",1,1,1,2,2,1,0,0,0,"/home/ter/Desktop/telatko-previous_paper_version/telatko.py -F %H -T 15 -L 2 -I -O %O","ok",0,0.549253,1,1,1,2,0,1,0,0,0
"patterns-rabinizer4.hoa:7642.1-7654.7","Automaton for G(((F(!a)) | (F(X(X(X(X(a))))))))",1,1,1,2,2,1,0,0,0,"/home/ter/Desktop/telatko-previous_paper_version/telatko.py -F %H -T 15 -L 3 -I -O %O","ok",0,0.553832,1,1,1,2,0,1,0,0,0
"patterns-rabinizer4.hoa:7642.1-7654.7","Automaton for G(((F(!a)) | (F(X(X(X(X(a))))))))",1,1,1,2,2,1,0,0,0,"/home/ter/Desktop/telatko-previous_paper_version/telatko.py -F %H -T 15 -I -O %O","ok",0,0.552459,1,1,1,2,0,1,0,0,0
"patterns-rabinizer4.hoa:7655.1-7674.7","Automaton for ((F(p1)) | (G(p2)))",2,3,6,12,2,3,0,0,0,"autfilt %H > %O","ok",0,0.00739724,2,3,6,12,2,3,0,0,0
"patterns-rabinizer4.hoa:7655.1-7674.7","Automaton for ((F(p1)) | (G(p2)))",2,3,6,12,2,3,0,0,0,"/home/ter/Desktop/telatko-previous_paper_version/telatko.py -F %H -T 15 -L 1 -I -O %O","ok",0,0.556639,2,3,6,12,1,3,0,0,0
"patterns-rabinizer4.hoa:7655.1-7674.7","Automaton for ((F(p1)) | (G(p2)))",2,3,6,12,2,3,0,0,0,"/home/ter/Desktop/telatko-previous_paper_version/telatko.py -F %H -T 15 -L 2 -I -O %O","ok",0,0.546277,2,3,6,12,1,3,0,0,0
"patterns-rabinizer4.hoa:7655.1-7674.7","Automaton for ((F(p1)) | (G(p2)))",2,3,6,12,2,3,0,0,0,"/home/ter/Desktop/telatko-previous_paper_version/telatko.py -F %H -T 15 -L 3 -I -O %O","ok",0,0.564981,2,3,6,12,1,3,0,0,0
"patterns-rabinizer4.hoa:7655.1-7674.7","Automaton for ((F(p1)) | (G(p2)))",2,3,6,12,2,3,0,0,0,"/home/ter/Desktop/telatko-previous_paper_version/telatko.py -F %H -T 15 -I -O %O","ok",0,0.564107,2,3,6,12,1,3,0,0,0
"patterns-rabinizer4.hoa:7675.1-7732.7","Automaton for ((((F(p1)) | (G(p2)))) & (((F(p2)) | (G(p3)))))",3,10,37,80,2,10,0,0,0,"autfilt %H > %O","ok",0,0.00721182,3,10,37,80,2,10,0,0,0
"patterns-rabinizer4.hoa:7675.1-7732.7","Automaton for ((((F(p1)) | (G(p2)))) & (((F(p2)) | (G(p3)))))",3,10,37,80,2,10,0,0,0,"/home/ter/Desktop/telatko-previous_paper_version/telatko.py -F %H -T 15 -L 1 -I -O %O","ok",0,0.555024,3,10,37,80,1,10,0,0,0
"patterns-rabinizer4.hoa:7675.1-7732.7","Automaton for ((((F(p1)) | (G(p2)))) & (((F(p2)) | (G(p3)))))",3,10,37,80,2,10,0,0,0,"/home/ter/Desktop/telatko-previous_paper_version/telatko.py -F %H -T 15 -L 2 -I -O %O","ok",0,0.547118,3,10,37,80,1,10,0,0,0
"patterns-rabinizer4.hoa:7675.1-7732.7","Automaton for ((((F(p1)) | (G(p2)))) & (((F(p2)) | (G(p3)))))",3,10,37,80,2,10,0,0,0,"/home/ter/Desktop/telatko-previous_paper_version/telatko.py -F %H -T 15 -L 3 -I -O %O","ok",0,0.567489,3,10,37,80,1,10,0,0,0
"patterns-rabinizer4.hoa:7675.1-7732.7","Automaton for ((((F(p1)) | (G(p2)))) & (((F(p2)) | (G(p3)))))",3,10,37,80,2,10,0,0,0,"/home/ter/Desktop/telatko-previous_paper_version/telatko.py -F %H -T 15 -I -O %O","ok",0,0.557195,3,10,37,80,1,10,0,0,0
"patterns-rabinizer4.hoa:7733.1-7946.7","Automaton for ((((F(p1)) | (G(p2)))) & (((F(p2)) | (G(p3)))) & (((F(p3)) | (G(p4)))))",4,30,173,480,2,30,0,0,0,"autfilt %H > %O","ok",0,0.00903009,4,30,173,480,2,30,0,0,0
"patterns-rabinizer4.hoa:7733.1-7946.7","Automaton for ((((F(p1)) | (G(p2)))) & (((F(p2)) | (G(p3)))) & (((F(p3)) | (G(p4)))))",4,30,173,480,2,30,0,0,0,"/home/ter/Desktop/telatko-previous_paper_version/telatko.py -F %H -T 15 -L 1 -I -O %O","ok",0,0.574295,4,30,173,480,1,30,0,0,0
"patterns-rabinizer4.hoa:7733.1-7946.7","Automaton for ((((F(p1)) | (G(p2)))) & (((F(p2)) | (G(p3)))) & (((F(p3)) | (G(p4)))))",4,30,173,480,2,30,0,0,0,"/home/ter/Desktop/telatko-previous_paper_version/telatko.py -F %H -T 15 -L 2 -I -O %O","ok",0,0.553091,4,30,173,480,1,30,0,0,0
"patterns-rabinizer4.hoa:7733.1-7946.7","Automaton for ((((F(p1)) | (G(p2)))) & (((F(p2)) | (G(p3)))) & (((F(p3)) | (G(p4)))))",4,30,173,480,2,30,0,0,0,"/home/ter/Desktop/telatko-previous_paper_version/telatko.py -F %H -T 15 -L 3 -I -O %O","ok",0,0.559433,4,30,173,480,1,30,0,0,0
"patterns-rabinizer4.hoa:7733.1-7946.7","Automaton for ((((F(p1)) | (G(p2)))) & (((F(p2)) | (G(p3)))) & (((F(p3)) | (G(p4)))))",4,30,173,480,2,30,0,0,0,"/home/ter/Desktop/telatko-previous_paper_version/telatko.py -F %H -T 15 -I -O %O","ok",0,0.564361,4,30,173,480,1,30,0,0,0
"patterns-rabinizer4.hoa:7947.1-8916.7","Automaton for ((((F(p1)) | (G(p2)))) & (((F(p2)) | (G(p3)))) & (((F(p3)) | (G(p4)))) & (((F(p4)) | (G(p5)))))",5,94,865,3008,2,94,0,0,0,"autfilt %H > %O","ok",0,0.0110574,5,94,865,3008,2,94,0,0,0
"patterns-rabinizer4.hoa:7947.1-8916.7","Automaton for ((((F(p1)) | (G(p2)))) & (((F(p2)) | (G(p3)))) & (((F(p3)) | (G(p4)))) & (((F(p4)) | (G(p5)))))",5,94,865,3008,2,94,0,0,0,"/home/ter/Desktop/telatko-previous_paper_version/telatko.py -F %H -T 15 -L 1 -I -O %O","ok",0,0.56949,5,94,865,3008,1,94,0,0,0
